Index,Character,Pinyin,Sentence
611,"续","[PINYIN_续]","这个字是续。"
612,"绸","[PINYIN_绸]","这个字是绸。"
613,"绿","lǜ","绿色。"
614,"缆","[PINYIN_缆]","这个字是缆。"
615,"置","[PINYIN_置]","这个字是置。"
616,"羊","[PINYIN_羊]","这个字是羊。"
617,"美","[PINYIN_美]","这个字是美。"
618,"翻","[PINYIN_翻]","这个字是翻。"
619,"老","lǎo","老人。"
620,"考","[PINYIN_考]","这个字是考。"
621,"而","[PINYIN_而]","这个字是而。"
622,"耳","ěr","耳朵。"
623,"联","[PINYIN_联]","这个字是联。"
624,"聪","[PINYIN_聪]","这个字是聪。"
625,"肉","[PINYIN_肉]","肉很香。"
626,"肚","[PINYIN_肚]","这个字是肚。"
627,"肯","[PINYIN_肯]","这个字是肯。"
628,"胜","[PINYIN_胜]","这个字是胜。"
629,"胡","[PINYIN_胡]","这个字是胡。"
630,"胶","[PINYIN_胶]","这个字是胶。"
631,"能","néng","我能。"
632,"脑","[PINYIN_脑]","这个字是脑。"
633,"腐","[PINYIN_腐]","这个字是腐。"
634,"腰","[PINYIN_腰]","这个字是腰。"
635,"自","[PINYIN_自]","这个字是自。"
636,"舒","[PINYIN_舒]","这个字是舒。"
637,"航","[PINYIN_航]","这个字是航。"
638,"般","[PINYIN_般]","这个字是般。"
639,"色","[PINYIN_色]","这个字是色。"
640,"艺","[PINYIN_艺]","这个字是艺。"
641,"芦","[PINYIN_芦]","这个字是芦。"
642,"英","[PINYIN_英]","这个字是英。"
643,"草","[PINYIN_草]","这个字是草。"
644,"营","[PINYIN_营]","这个字是营。"
645,"葫","[PINYIN_葫]","这个字是葫。"
646,"薯","[PINYIN_薯]","这个字是薯。"
647,"虎","[PINYIN_虎]","这个字是虎。"
648,"蛋","[PINYIN_蛋]","蛋很新鲜。"
649,"蜜","[PINYIN_蜜]","这个字是蜜。"
650,"蜡","[PINYIN_蜡]","这个字是蜡。"
651,"行","[PINYIN_行]","这个字是行。"
652,"街","[PINYIN_街]","这个字是街。"
653,"衣","[PINYIN_衣]","这个字是衣。"
654,"衫","[PINYIN_衫]","这个字是衫。"
655,"衬","[PINYIN_衬]","这个字是衬。"
656,"袋","[PINYIN_袋]","这个字是袋。"
657,"裙","[PINYIN_裙]","这个字是裙。"
658,"裤","[PINYIN_裤]","这个字是裤。"
659,"裹","[PINYIN_裹]","这个字是裹。"
660,"西","xī","西方。"
661,"要","yào","我要学习。"
662,"见","[PINYIN_见]","这个字是见。"
663,"观","[PINYIN_观]","这个字是观。"
664,"规","[PINYIN_规]","这个字是规。"
665,"视","[PINYIN_视]","这个字是视。"
666,"览","[PINYIN_览]","这个字是览。"
667,"觉","[PINYIN_觉]","这个字是觉。"
668,"解","[PINYIN_解]","这个字是解。"
669,"警","[PINYIN_警]","这个字是警。"
670,"计","[PINYIN_计]","这个字是计。"
671,"认","[PINYIN_认]","这个字是认。"
672,"讨","[PINYIN_讨]","这个字是讨。"
673,"议","[PINYIN_议]","这个字是议。"
674,"许","[PINYIN_许]","这个字是许。"
675,"论","[PINYIN_论]","这个字是论。"
676,"访","[PINYIN_访]","这个字是访。"
677,"证","[PINYIN_证]","这个字是证。"
678,"识","[PINYIN_识]","这个字是识。"
679,"诉","[PINYIN_诉]","这个字是诉。"
680,"词","[PINYIN_词]","这个字是词。"
681,"译","[PINYIN_译]","这个字是译。"
682,"试","[PINYIN_试]","这个字是试。"
683,"语","[PINYIN_语]","这个字是语。"
684,"误","[PINYIN_误]","这个字是误。"
685,"说","shuō","我说中文。"
686,"请","[PINYIN_请]","这个字是请。"
687,"读","[PINYIN_读]","这个字是读。"
688,"课","[PINYIN_课]","这个字是课。"
689,"谁","shéi","你是谁？"
690,"调","[PINYIN_调]","这个字是调。"
691,"谅","[PINYIN_谅]","这个字是谅。"
692,"谈","[PINYIN_谈]","这个字是谈。"
693,"谊","[PINYIN_谊]","这个字是谊。"
694,"谎","[PINYIN_谎]","这个字是谎。"
695,"谐","[PINYIN_谐]","这个字是谐。"
696,"谢","[PINYIN_谢]","这个字是谢。"
697,"谱","[PINYIN_谱]","这个字是谱。"
698,"豆","[PINYIN_豆]","这个字是豆。"
699,"象","[PINYIN_象]","这个字是象。"
700,"财","[PINYIN_财]","这个字是财。"
701,"质","[PINYIN_质]","这个字是质。"
702,"贵","[PINYIN_贵]","这个字是贵。"
703,"费","[PINYIN_费]","这个字是费。"
704,"资","[PINYIN_资]","这个字是资。"
705,"赛","[PINYIN_赛]","这个字是赛。"
706,"赢","[PINYIN_赢]","这个字是赢。"
707,"走","zǒu","我走路。"
708,"越","[PINYIN_越]","这个字是越。"
709,"趣","[PINYIN_趣]","这个字是趣。"
710,"跑","pǎo","我跑步。"
711,"距","[PINYIN_距]","这个字是距。"
712,"跤","[PINYIN_跤]","这个字是跤。"
713,"路","[PINYIN_路]","这个字是路。"
714,"踩","[PINYIN_踩]","这个字是踩。"
715,"身","shēn","身体。"
716,"车","chē","车很快。"
717,"转","[PINYIN_转]","这个字是转。"
718,"软","[PINYIN_软]","这个字是软。"
719,"轻","[PINYIN_轻]","这个字是轻。"
720,"较","[PINYIN_较]","这个字是较。"
721,"辆","[PINYIN_辆]","这个字是辆。"
722,"辈","[PINYIN_辈]","这个字是辈。"
723,"辛","[PINYIN_辛]","这个字是辛。"
724,"边","biān","旁边。"
725,"达","[PINYIN_达]","这个字是达。"
726,"迅","[PINYIN_迅]","这个字是迅。"
727,"迎","[PINYIN_迎]","这个字是迎。"
728,"运","[PINYIN_运]","这个字是运。"
729,"近","[PINYIN_近]","这个字是近。"
730,"这","zhè","这是书。"
731,"进","jìn","我进来。"
732,"远","[PINYIN_远]","这个字是远。"
733,"连","[PINYIN_连]","这个字是连。"
734,"迟","[PINYIN_迟]","这个字是迟。"
735,"迹","[PINYIN_迹]","这个字是迹。"
736,"适","[PINYIN_适]","这个字是适。"
737,"选","[PINYIN_选]","这个字是选。"
738,"造","[PINYIN_造]","这个字是造。"
739,"遇","[PINYIN_遇]","这个字是遇。"
740,"遍","[PINYIN_遍]","这个字是遍。"
741,"道","[PINYIN_道]","这个字是道。"
742,"遗","[PINYIN_遗]","这个字是遗。"
743,"遥","[PINYIN_遥]","这个字是遥。"
744,"遵","[PINYIN_遵]","这个字是遵。"
745,"避","[PINYIN_避]","这个字是避。"
746,"邀","[PINYIN_邀]","这个字是邀。"
747,"那","nà","那是笔。"
748,"邮","[PINYIN_邮]","这个字是邮。"
749,"郎","[PINYIN_郎]","这个字是郎。"
750,"部","[PINYIN_部]","这个字是部。"
751,"都","dōu","我们都去。"
752,"酒","[PINYIN_酒]","这个字是酒。"
753,"醋","[PINYIN_醋]","这个字是醋。"
754,"里","lǐ","里面。"
755,"重","[PINYIN_重]","这个字是重。"
756,"野","[PINYIN_野]","这个字是野。"
757,"量","[PINYIN_量]","这个字是量。"
758,"针","[PINYIN_针]","这个字是针。"
759,"钟","[PINYIN_钟]","这个字是钟。"
760,"钢","[PINYIN_钢]","这个字是钢。"
761,"钥","[PINYIN_钥]","这个字是钥。"
762,"钱","qián","我有钱。"
763,"铁","[PINYIN_铁]","这个字是铁。"
764,"银","[PINYIN_银]","这个字是银。"
765,"链","[PINYIN_链]","这个字是链。"
766,"镜","[PINYIN_镜]","这个字是镜。"
767,"间","[PINYIN_间]","这个字是间。"
768,"闹","[PINYIN_闹]","这个字是闹。"
769,"阅","[PINYIN_阅]","这个字是阅。"
770,"阿","[PINYIN_阿]","这个字是阿。"
771,"际","[PINYIN_际]","这个字是际。"
772,"院","[PINYIN_院]","这个字是院。"
773,"除","[PINYIN_除]","这个字是除。"
774,"险","[PINYIN_险]","这个字是险。"
775,"随","[PINYIN_随]","这个字是随。"
776,"障","[PINYIN_障]","这个字是障。"
777,"集","[PINYIN_集]","这个字是集。"
778,"雕","[PINYIN_雕]","这个字是雕。"
779,"零","[PINYIN_零]","这个字是零。"
780,"需","[PINYIN_需]","这个字是需。"
781,"霉","[PINYIN_霉]","这个字是霉。"
782,"青","[PINYIN_青]","这个字是青。"
783,"静","[PINYIN_静]","这个字是静。"
784,"非","[PINYIN_非]","这个字是非。"
785,"面","miàn","见面。"
786,"革","[PINYIN_革]","这个字是革。"
787,"鞋","[PINYIN_鞋]","这个字是鞋。"
788,"音","[PINYIN_音]","这个字是音。"
789,"顶","[PINYIN_顶]","这个字是顶。"
790,"项","[PINYIN_项]","这个字是项。"
791,"顾","[PINYIN_顾]","这个字是顾。"
792,"预","[PINYIN_预]","这个字是预。"
793,"领","[PINYIN_领]","这个字是领。"
794,"颐","[PINYIN_颐]","这个字是颐。"
795,"频","[PINYIN_频]","这个字是频。"
796,"题","[PINYIN_题]","这个字是题。"
797,"颜","[PINYIN_颜]","这个字是颜。"
798,"风","[PINYIN_风]","这个字是风。"
799,"食","[PINYIN_食]","这个字是食。"
800,"餐","[PINYIN_餐]","这个字是餐。"
801,"饭","[PINYIN_饭]","这个字是饭。"
802,"饰","[PINYIN_饰]","这个字是饰。"
803,"饼","[PINYIN_饼]","这个字是饼。"
804,"馆","[PINYIN_馆]","这个字是馆。"
805,"首","[PINYIN_首]","这个字是首。"
806,"马","[PINYIN_马]","这个字是马。"
807,"驾","[PINYIN_驾]","这个字是驾。"
808,"骄","[PINYIN_骄]","这个字是骄。"
809,"骑","[PINYIN_骑]","这个字是骑。"
810,"骨","[PINYIN_骨]","这个字是骨。"
811,"鱼","[PINYIN_鱼]","鱼很新鲜。"
812,"鲁","[PINYIN_鲁]","这个字是鲁。"
813,"鲜","[PINYIN_鲜]","这个字是鲜。"
814,"鸡","[PINYIN_鸡]","鸡很香。"
815,"鸭","[PINYIN_鸭]","鸭很好吃。"
816,"麦","[PINYIN_麦]","这个字是麦。"
817,"麻","[PINYIN_麻]","这个字是麻。"
818,"黄","huáng","黄色。"
819,"黎","[PINYIN_黎]","这个字是黎。"
820,"鼻","bí","鼻子。"
821,"齐","[PINYIN_齐]","这个字是齐。"
822,"龄","[PINYIN_龄]","这个字是龄。"
