Character,Pinyin,Sentence
阿,[PINYIN_阿],这个字是阿。
际,[PINYIN_际],这个字是际。
院,[PINYIN_院],这个字是院。
除,[PINYIN_除],这个字是除。
险,[PINYIN_险],这个字是险。
随,[PINYIN_随],这个字是随。
障,[PINYIN_障],这个字是障。
集,[PINYIN_集],这个字是集。
雕,[PINYIN_雕],这个字是雕。
零,[PINYIN_零],这个字是零。
需,[PINYIN_需],这个字是需。
霉,[PINYIN_霉],这个字是霉。
青,[PINYIN_青],这个字是青。
静,[PINYIN_静],这个字是静。
非,[PINYIN_非],这个字是非。
面,miàn,见面。
革,[PINYIN_革],这个字是革。
鞋,[PINYIN_鞋],这个字是鞋。
音,[PINYIN_音],这个字是音。
顶,[PINYIN_顶],这个字是顶。
项,[PINYIN_项],这个字是项。
顾,[PINYIN_顾],这个字是顾。
预,[PINYIN_预],这个字是预。
领,[PINYIN_领],这个字是领。
颐,[PINYIN_颐],这个字是颐。
频,[PINYIN_频],这个字是频。
题,[PINYIN_题],这个字是题。
颜,[PINYIN_颜],这个字是颜。
风,[PINYIN_风],这个字是风。
食,[PINYIN_食],这个字是食。
餐,[PINYIN_餐],这个字是餐。
饭,[PINYIN_饭],这个字是饭。
饰,[PINYIN_饰],这个字是饰。
饼,[PINYIN_饼],这个字是饼。
馆,[PINYIN_馆],这个字是馆。
首,[PINYIN_首],这个字是首。
马,[PINYIN_马],这个字是马。
驾,[PINYIN_驾],这个字是驾。
骄,[PINYIN_骄],这个字是骄。
骑,[PINYIN_骑],这个字是骑。
骨,[PINYIN_骨],这个字是骨。
鱼,[PINYIN_鱼],鱼很新鲜。
鲁,[PINYIN_鲁],这个字是鲁。
鲜,[PINYIN_鲜],这个字是鲜。
鸡,[PINYIN_鸡],鸡很香。
鸭,[PINYIN_鸭],鸭很好吃。
麦,[PINYIN_麦],这个字是麦。
麻,[PINYIN_麻],这个字是麻。
黄,huáng,黄色。
黎,[PINYIN_黎],这个字是黎。
鼻,bí,鼻子。
齐,[PINYIN_齐],这个字是齐。
龄,[PINYIN_龄],这个字是龄。
