Character,Pinyin,Sentence,SentencePinyin
烦,fan,"这个字是烦。","zhe ge zi shi fan 。"
热,rè,"很热。","hen re 。"
然,ran,"这个字是然。","zhe ge zi shi ran 。"
熊,xiong,"这个字是熊。","zhe ge zi shi xiong 。"
爬,pa,"这个字是爬。","zhe ge zi shi pa 。"
父,fu,"这个字是父。","zhe ge zi shi fu 。"
爽,shuang,"这个字是爽。","zhe ge zi shi shuang 。"
牌,pai,"这个字是牌。","zhe ge zi shi pai 。"
牛,niu,"这个字是牛。","zhe ge zi shi niu 。"
物,wu,"这个字是物。","zhe ge zi shi wu 。"
猫,mao,"这个字是猫。","zhe ge zi shi mao 。"
玩,wan,"这个字是玩。","zhe ge zi shi wan 。"
环,huan,"这个字是环。","zhe ge zi shi huan 。"
现,xian,"这个字是现。","zhe ge zi shi xian 。"
珍,zhen,"这个字是珍。","zhe ge zi shi zhen 。"
班,ban,"这个字是班。","zhe ge zi shi ban 。"
球,qiu,"这个字是球。","zhe ge zi shi qiu 。"
理,li,"这个字是理。","zhe ge zi shi li 。"
琴,qin,"这个字是琴。","zhe ge zi shi qin 。"
琵,pi,"这个字是琵。","zhe ge zi shi pi 。"
琶,pa,"这个字是琶。","zhe ge zi shi pa 。"
瓜,gua,"这个字是瓜。","zhe ge zi shi gua 。"
瓶,ping,"这个字是瓶。","zhe ge zi shi ping 。"
瓷,ci,"这个字是瓷。","zhe ge zi shi ci 。"
甚,shen,"这个字是甚。","zhe ge zi shi shen 。"
生,sheng,"这个字是生。","zhe ge zi shi sheng 。"
用,yong,"这个字是用。","zhe ge zi shi yong 。"
由,you,"这个字是由。","zhe ge zi shi you 。"
申,shen,"这个字是申。","zhe ge zi shi shen 。"
电,dian,"这个字是电。","zhe ge zi shi dian 。"
画,hua,"这个字是画。","zhe ge zi shi hua 。"
界,jie,"这个字是界。","zhe ge zi shi jie 。"
留,liu,"这个字是留。","zhe ge zi shi liu 。"
白,bái,"白色。","bai se 。"
的,de,"这是我的书。","zhe shi wo de shu 。"
盒,he,"这个字是盒。","zhe ge zi shi he 。"
目,mu,"这个字是目。","zhe ge zi shi mu 。"
直,zhi,"这个字是直。","zhe ge zi shi zhi 。"
相,xiang,"这个字是相。","zhe ge zi shi xiang 。"
盹,dun,"这个字是盹。","zhe ge zi shi dun 。"
看,kàn,"我看书。","wo kan shu 。"
真,zhēn,"真的。","zhen de 。"
眼,yǎn,"眼睛。","yan jing 。"
睛,jing,"这个字是睛。","zhe ge zi shi jing 。"
睡,shui,"这个字是睡。","zhe ge zi shi shui 。"
知,zhi,"这个字是知。","zhe ge zi shi zhi 。"
矩,ju,"这个字是矩。","zhe ge zi shi ju 。"
短,duǎn,"很短。","hen duan 。"
石,shi,"这个字是石。","zhe ge zi shi shi 。"
码,ma,"这个字是码。","zhe ge zi shi ma 。"
研,yan,"这个字是研。","zhe ge zi shi yan 。"
础,chu,"这个字是础。","zhe ge zi shi chu 。"
硕,shuo,"这个字是硕。","zhe ge zi shi shuo 。"
硬,ying,"这个字是硬。","zhe ge zi shi ying 。"
碟,die,"这个字是碟。","zhe ge zi shi die 。"
磁,ci,"这个字是磁。","zhe ge zi shi ci 。"
示,shi,"这个字是示。","zhe ge zi shi shi 。"
礼,li,"这个字是礼。","zhe ge zi shi li 。"
社,she,"这个字是社。","zhe ge zi shi she 。"
祖,zu,"这个字是祖。","zhe ge zi shi zu 。"
祝,zhu,"这个字是祝。","zhe ge zi shi zhu 。"
神,shen,"这个字是神。","zhe ge zi shi shen 。"
祥,xiang,"这个字是祥。","zhe ge zi shi xiang 。"
票,piao,"这个字是票。","zhe ge zi shi piao 。"
福,fu,"这个字是福。","zhe ge zi shi fu 。"
离,li,"这个字是离。","zhe ge zi shi li 。"
科,ke,"这个字是科。","zhe ge zi shi ke 。"
秘,mi,"这个字是秘。","zhe ge zi shi mi 。"
租,zu,"这个字是租。","zhe ge zi shi zu 。"
积,ji,"这个字是积。","zhe ge zi shi ji 。"
究,jiu,"这个字是究。","zhe ge zi shi jiu 。"
突,tu,"这个字是突。","zhe ge zi shi tu 。"
窗,chuāng,"窗户。","chuang hu 。"
立,li,"这个字是立。","zhe ge zi shi li 。"
站,zhàn,"我站着。","wo zhan zhe 。"
章,zhang,"这个字是章。","zhe ge zi shi zhang 。"
笃,du,"这个字是笃。","zhe ge zi shi du 。"
笔,bǐ,"笔很新。","bi hen xin 。"
等,deng,"这个字是等。","zhe ge zi shi deng 。"
筑,zhu,"这个字是筑。","zhe ge zi shi zhu 。"
筒,tong,"这个字是筒。","zhe ge zi shi tong 。"
答,da,"这个字是答。","zhe ge zi shi da 。"
筷,kuai,"这个字是筷。","zhe ge zi shi kuai 。"
简,jian,"这个字是简。","zhe ge zi shi jian 。"
算,suan,"这个字是算。","zhe ge zi shi suan 。"
箱,xiang,"这个字是箱。","zhe ge zi shi xiang 。"
籍,ji,"这个字是籍。","zhe ge zi shi ji 。"
米,mi,"这个字是米。","zhe ge zi shi mi 。"
精,jing,"这个字是精。","zhe ge zi shi jing 。"
糕,gao,"这个字是糕。","zhe ge zi shi gao 。"
糟,zao,"这个字是糟。","zhe ge zi shi zao 。"
紧,jin,"这个字是紧。","zhe ge zi shi jin 。"
累,lei,"这个字是累。","zhe ge zi shi lei 。"
繁,fan,"这个字是繁。","zhe ge zi shi fan 。"
纠,jiu,"这个字是纠。","zhe ge zi shi jiu 。"
红,hóng,"红色。","hong se 。"
约,yue,"这个字是约。","zhe ge zi shi yue 。"
线,xian,"这个字是线。","zhe ge zi shi xian 。"
练,lian,"这个字是练。","zhe ge zi shi lian 。"
组,zu,"这个字是组。","zhe ge zi shi zu 。"
织,zhi,"这个字是织。","zhe ge zi shi zhi 。"
终,zhong,"这个字是终。","zhe ge zi shi zhong 。"
绍,shao,"这个字是绍。","zhe ge zi shi shao 。"
经,jing,"这个字是经。","zhe ge zi shi jing 。"
给,gei,"这个字是给。","zhe ge zi shi gei 。"
统,tong,"这个字是统。","zhe ge zi shi tong 。"
继,ji,"这个字是继。","zhe ge zi shi ji 。"
续,xu,"这个字是续。","zhe ge zi shi xu 。"
绸,chou,"这个字是绸。","zhe ge zi shi chou 。"
绿,lǜ,"绿色。","lü se 。"
缆,lan,"这个字是缆。","zhe ge zi shi lan 。"
置,zhi,"这个字是置。","zhe ge zi shi zhi 。"
羊,yang,"这个字是羊。","zhe ge zi shi yang 。"
美,mei,"这个字是美。","zhe ge zi shi mei 。"
翻,fan,"这个字是翻。","zhe ge zi shi fan 。"
老,lǎo,"老人。","lao ren 。"
考,kao,"这个字是考。","zhe ge zi shi kao 。"
而,er,"这个字是而。","zhe ge zi shi er 。"
耳,ěr,"耳朵。","er duo 。"
联,lian,"这个字是联。","zhe ge zi shi lian 。"
聪,cong,"这个字是聪。","zhe ge zi shi cong 。"
肉,rou,"肉很香。","rou hen xiang 。"
肚,du,"这个字是肚。","zhe ge zi shi du 。"
肯,ken,"这个字是肯。","zhe ge zi shi ken 。"
胜,sheng,"这个字是胜。","zhe ge zi shi sheng 。"
胡,hu,"这个字是胡。","zhe ge zi shi hu 。"
胶,jiao,"这个字是胶。","zhe ge zi shi jiao 。"
能,néng,"我能。","wo neng 。"
脑,nao,"这个字是脑。","zhe ge zi shi nao 。"
腐,fu,"这个字是腐。","zhe ge zi shi fu 。"
腰,yao,"这个字是腰。","zhe ge zi shi yao 。"
自,zi,"这个字是自。","zhe ge zi shi zi 。"
舒,shu,"这个字是舒。","zhe ge zi shi shu 。"
航,hang,"这个字是航。","zhe ge zi shi hang 。"
般,ban,"这个字是般。","zhe ge zi shi ban 。"
色,se,"这个字是色。","zhe ge zi shi se 。"
艺,yi,"这个字是艺。","zhe ge zi shi yi 。"
芦,lu,"这个字是芦。","zhe ge zi shi lu 。"
英,ying,"这个字是英。","zhe ge zi shi ying 。"
草,cao,"这个字是草。","zhe ge zi shi cao 。"
营,ying,"这个字是营。","zhe ge zi shi ying 。"
葫,hu,"这个字是葫。","zhe ge zi shi hu 。"
薯,shu,"这个字是薯。","zhe ge zi shi shu 。"
虎,hu,"这个字是虎。","zhe ge zi shi hu 。"
蛋,dan,"蛋很新鲜。","dan hen xin xian 。"
蜜,mi,"这个字是蜜。","zhe ge zi shi mi 。"
蜡,la,"这个字是蜡。","zhe ge zi shi la 。"
行,xing,"这个字是行。","zhe ge zi shi xing 。"
街,jie,"这个字是街。","zhe ge zi shi jie 。"
衣,yi,"这个字是衣。","zhe ge zi shi yi 。"
衫,shan,"这个字是衫。","zhe ge zi shi shan 。"
衬,chen,"这个字是衬。","zhe ge zi shi chen 。"
袋,dai,"这个字是袋。","zhe ge zi shi dai 。"
裙,qun,"这个字是裙。","zhe ge zi shi qun 。"
裤,ku,"这个字是裤。","zhe ge zi shi ku 。"
裹,guo,"这个字是裹。","zhe ge zi shi guo 。"
西,xī,"西方。","xi fang 。"
要,yào,"我要学习。","wo yao xue xi 。"
见,jian,"这个字是见。","zhe ge zi shi jian 。"
观,guan,"这个字是观。","zhe ge zi shi guan 。"
规,gui,"这个字是规。","zhe ge zi shi gui 。"
视,shi,"这个字是视。","zhe ge zi shi shi 。"
览,lan,"这个字是览。","zhe ge zi shi lan 。"
觉,jue,"这个字是觉。","zhe ge zi shi jue 。"
解,jie,"这个字是解。","zhe ge zi shi jie 。"
警,jing,"这个字是警。","zhe ge zi shi jing 。"
计,ji,"这个字是计。","zhe ge zi shi ji 。"
认,ren,"这个字是认。","zhe ge zi shi ren 。"
讨,tao,"这个字是讨。","zhe ge zi shi tao 。"
议,yi,"这个字是议。","zhe ge zi shi yi 。"
许,xu,"这个字是许。","zhe ge zi shi xu 。"
论,lun,"这个字是论。","zhe ge zi shi lun 。"
访,fang,"这个字是访。","zhe ge zi shi fang 。"
证,zheng,"这个字是证。","zhe ge zi shi zheng 。"
识,shi,"这个字是识。","zhe ge zi shi shi 。"
诉,su,"这个字是诉。","zhe ge zi shi su 。"
词,ci,"这个字是词。","zhe ge zi shi ci 。"
译,yi,"这个字是译。","zhe ge zi shi yi 。"
试,shi,"这个字是试。","zhe ge zi shi shi 。"
语,yu,"这个字是语。","zhe ge zi shi yu 。"
误,wu,"这个字是误。","zhe ge zi shi wu 。"
说,shuō,"我说中文。","wo shuo zhong wen 。"
请,qing,"这个字是请。","zhe ge zi shi qing 。"
读,du,"这个字是读。","zhe ge zi shi du 。"
课,ke,"这个字是课。","zhe ge zi shi ke 。"
谁,shéi,"你是谁？","ni shi shui ？"
调,tiao,"这个字是调。","zhe ge zi shi tiao 。"
谅,liang,"这个字是谅。","zhe ge zi shi liang 。"
谈,tan,"这个字是谈。","zhe ge zi shi tan 。"
谊,yi,"这个字是谊。","zhe ge zi shi yi 。"
谎,huang,"这个字是谎。","zhe ge zi shi huang 。"
谐,xie,"这个字是谐。","zhe ge zi shi xie 。"
谢,xie,"这个字是谢。","zhe ge zi shi xie 。"
谱,pu,"这个字是谱。","zhe ge zi shi pu 。"
豆,dou,"这个字是豆。","zhe ge zi shi dou 。"
象,xiang,"这个字是象。","zhe ge zi shi xiang 。"
财,cai,"这个字是财。","zhe ge zi shi cai 。"
质,zhi,"这个字是质。","zhe ge zi shi zhi 。"
贵,gui,"这个字是贵。","zhe ge zi shi gui 。"
费,fei,"这个字是费。","zhe ge zi shi fei 。"
资,zi,"这个字是资。","zhe ge zi shi zi 。"
赛,sai,"这个字是赛。","zhe ge zi shi sai 。"
赢,ying,"这个字是赢。","zhe ge zi shi ying 。"
走,zǒu,"我走路。","wo zou lu 。"
越,yue,"这个字是越。","zhe ge zi shi yue 。"
趣,qu,"这个字是趣。","zhe ge zi shi qu 。"
跑,pǎo,"我跑步。","wo pao bu 。"
距,ju,"这个字是距。","zhe ge zi shi ju 。"
跤,jiao,"这个字是跤。","zhe ge zi shi jiao 。"
路,lu,"这个字是路。","zhe ge zi shi lu 。"
踩,cai,"这个字是踩。","zhe ge zi shi cai 。"
身,shēn,"身体。","shen ti 。"
车,chē,"车很快。","che hen kuai 。"
转,zhuan,"这个字是转。","zhe ge zi shi zhuan 。"
软,ruan,"这个字是软。","zhe ge zi shi ruan 。"
轻,qing,"这个字是轻。","zhe ge zi shi qing 。"
较,jiao,"这个字是较。","zhe ge zi shi jiao 。"
辆,liang,"这个字是辆。","zhe ge zi shi liang 。"
辈,bei,"这个字是辈。","zhe ge zi shi bei 。"
辛,xin,"这个字是辛。","zhe ge zi shi xin 。"
边,biān,"旁边。","pang bian 。"
达,da,"这个字是达。","zhe ge zi shi da 。"
迅,xun,"这个字是迅。","zhe ge zi shi xun 。"
迎,ying,"这个字是迎。","zhe ge zi shi ying 。"
运,yun,"这个字是运。","zhe ge zi shi yun 。"
近,jin,"这个字是近。","zhe ge zi shi jin 。"
这,zhè,"这是书。","zhe shi shu 。"
进,jìn,"我进来。","wo jin lai 。"
远,yuan,"这个字是远。","zhe ge zi shi yuan 。"
连,lian,"这个字是连。","zhe ge zi shi lian 。"
迟,chi,"这个字是迟。","zhe ge zi shi chi 。"
迹,ji,"这个字是迹。","zhe ge zi shi ji 。"
适,shi,"这个字是适。","zhe ge zi shi shi 。"
选,xuan,"这个字是选。","zhe ge zi shi xuan 。"
造,zao,"这个字是造。","zhe ge zi shi zao 。"
遇,yu,"这个字是遇。","zhe ge zi shi yu 。"
遍,bian,"这个字是遍。","zhe ge zi shi bian 。"
道,dao,"这个字是道。","zhe ge zi shi dao 。"
遗,yi,"这个字是遗。","zhe ge zi shi yi 。"
遥,yao,"这个字是遥。","zhe ge zi shi yao 。"
遵,zun,"这个字是遵。","zhe ge zi shi zun 。"
避,bi,"这个字是避。","zhe ge zi shi bi 。"
邀,yao,"这个字是邀。","zhe ge zi shi yao 。"
那,nà,"那是笔。","na shi bi 。"
邮,you,"这个字是邮。","zhe ge zi shi you 。"
郎,lang,"这个字是郎。","zhe ge zi shi lang 。"
部,bu,"这个字是部。","zhe ge zi shi bu 。"
都,dōu,"我们都去。","wo men dou qu 。"
酒,jiu,"这个字是酒。","zhe ge zi shi jiu 。"
醋,cu,"这个字是醋。","zhe ge zi shi cu 。"
里,lǐ,"里面。","li mian 。"
重,zhong,"这个字是重。","zhe ge zi shi zhong 。"
野,ye,"这个字是野。","zhe ge zi shi ye 。"
量,liang,"这个字是量。","zhe ge zi shi liang 。"
针,zhen,"这个字是针。","zhe ge zi shi zhen 。"
钟,zhong,"这个字是钟。","zhe ge zi shi zhong 。"
钢,gang,"这个字是钢。","zhe ge zi shi gang 。"
钥,yao,"这个字是钥。","zhe ge zi shi yao 。"
钱,qián,"我有钱。","wo you qian 。"
铁,tie,"这个字是铁。","zhe ge zi shi tie 。"
银,yin,"这个字是银。","zhe ge zi shi yin 。"
链,lian,"这个字是链。","zhe ge zi shi lian 。"
镜,jing,"这个字是镜。","zhe ge zi shi jing 。"
间,jian,"这个字是间。","zhe ge zi shi jian 。"
闹,nao,"这个字是闹。","zhe ge zi shi nao 。"
阅,yue,"这个字是阅。","zhe ge zi shi yue 。"
阿,a,"这个字是阿。","zhe ge zi shi a 。"
际,ji,"这个字是际。","zhe ge zi shi ji 。"
院,yuan,"这个字是院。","zhe ge zi shi yuan 。"
除,chu,"这个字是除。","zhe ge zi shi chu 。"
险,xian,"这个字是险。","zhe ge zi shi xian 。"
随,sui,"这个字是随。","zhe ge zi shi sui 。"
障,zhang,"这个字是障。","zhe ge zi shi zhang 。"
集,ji,"这个字是集。","zhe ge zi shi ji 。"
雕,diao,"这个字是雕。","zhe ge zi shi diao 。"
零,ling,"这个字是零。","zhe ge zi shi ling 。"
需,xu,"这个字是需。","zhe ge zi shi xu 。"
霉,mei,"这个字是霉。","zhe ge zi shi mei 。"
青,qing,"这个字是青。","zhe ge zi shi qing 。"
静,jing,"这个字是静。","zhe ge zi shi jing 。"
非,fei,"这个字是非。","zhe ge zi shi fei 。"
面,miàn,"见面。","jian mian 。"
革,ge,"这个字是革。","zhe ge zi shi ge 。"
鞋,xie,"这个字是鞋。","zhe ge zi shi xie 。"
音,yin,"这个字是音。","zhe ge zi shi yin 。"
顶,ding,"这个字是顶。","zhe ge zi shi ding 。"
项,xiang,"这个字是项。","zhe ge zi shi xiang 。"
顾,gu,"这个字是顾。","zhe ge zi shi gu 。"
预,yu,"这个字是预。","zhe ge zi shi yu 。"
领,ling,"这个字是领。","zhe ge zi shi ling 。"
颐,yi,"这个字是颐。","zhe ge zi shi yi 。"
频,pin,"这个字是频。","zhe ge zi shi pin 。"
题,ti,"这个字是题。","zhe ge zi shi ti 。"
颜,yan,"这个字是颜。","zhe ge zi shi yan 。"
风,feng,"这个字是风。","zhe ge zi shi feng 。"
食,shi,"这个字是食。","zhe ge zi shi shi 。"
餐,can,"这个字是餐。","zhe ge zi shi can 。"
饭,fan,"这个字是饭。","zhe ge zi shi fan 。"
饰,shi,"这个字是饰。","zhe ge zi shi shi 。"
饼,bing,"这个字是饼。","zhe ge zi shi bing 。"
馆,guan,"这个字是馆。","zhe ge zi shi guan 。"
首,shou,"这个字是首。","zhe ge zi shi shou 。"
马,ma,"这个字是马。","zhe ge zi shi ma 。"
驾,jia,"这个字是驾。","zhe ge zi shi jia 。"
骄,jiao,"这个字是骄。","zhe ge zi shi jiao 。"
骑,qi,"这个字是骑。","zhe ge zi shi qi 。"
骨,gu,"这个字是骨。","zhe ge zi shi gu 。"
鱼,yu,"鱼很新鲜。","yu hen xin xian 。"
鲁,lu,"这个字是鲁。","zhe ge zi shi lu 。"
鲜,xian,"这个字是鲜。","zhe ge zi shi xian 。"
鸡,ji,"鸡很香。","ji hen xiang 。"
鸭,ya,"鸭很好吃。","ya hen hao chi 。"
麦,mai,"这个字是麦。","zhe ge zi shi mai 。"
麻,ma,"这个字是麻。","zhe ge zi shi ma 。"
黄,huáng,"黄色。","huang se 。"
黎,li,"这个字是黎。","zhe ge zi shi li 。"
鼻,bí,"鼻子。","bi zi 。"
齐,qi,"这个字是齐。","zhe ge zi shi qi 。"
龄,ling,"这个字是龄。","zhe ge zi shi ling 。"
