Index,Character,Pinyin,Needs_Lookup
642,"英","[PINYIN_FOR_英]",true
643,"草","[PINYIN_FOR_草]",true
644,"营","[PINYIN_FOR_营]",true
645,"葫","[PINYIN_FOR_葫]",true
646,"薯","[PINYIN_FOR_薯]",true
647,"虎","[PINYIN_FOR_虎]",true
648,"蛋","[PINYIN_FOR_蛋]",true
649,"蜜","[PINYIN_FOR_蜜]",true
650,"蜡","[PINYIN_FOR_蜡]",true
651,"行","[PINYIN_FOR_行]",true
652,"街","[PINYIN_FOR_街]",true
653,"衣","[PINYIN_FOR_衣]",true
654,"衫","[PINYIN_FOR_衫]",true
655,"衬","[PINYIN_FOR_衬]",true
656,"袋","[PINYIN_FOR_袋]",true
657,"裙","[PINYIN_FOR_裙]",true
658,"裤","[PINYIN_FOR_裤]",true
659,"裹","[PINYIN_FOR_裹]",true
660,"西","[PINYIN_FOR_西]",true
661,"要","[PINYIN_FOR_要]",true
662,"见","[PINYIN_FOR_见]",true
663,"观","[PINYIN_FOR_观]",true
664,"规","[PINYIN_FOR_规]",true
665,"视","[PINYIN_FOR_视]",true
666,"览","[PINYIN_FOR_览]",true
667,"觉","[PINYIN_FOR_觉]",true
668,"解","[PINYIN_FOR_解]",true
669,"警","[PINYIN_FOR_警]",true
670,"计","[PINYIN_FOR_计]",true
671,"认","[PINYIN_FOR_认]",true
672,"讨","[PINYIN_FOR_讨]",true
673,"议","[PINYIN_FOR_议]",true
674,"许","[PINYIN_FOR_许]",true
675,"论","[PINYIN_FOR_论]",true
676,"访","[PINYIN_FOR_访]",true
677,"证","[PINYIN_FOR_证]",true
678,"识","[PINYIN_FOR_识]",true
679,"诉","[PINYIN_FOR_诉]",true
680,"词","[PINYIN_FOR_词]",true
681,"译","[PINYIN_FOR_译]",true
682,"试","[PINYIN_FOR_试]",true
683,"语","[PINYIN_FOR_语]",true
684,"误","[PINYIN_FOR_误]",true
685,"说","[PINYIN_FOR_说]",true
686,"请","[PINYIN_FOR_请]",true
687,"读","[PINYIN_FOR_读]",true
688,"课","[PINYIN_FOR_课]",true
689,"谁","[PINYIN_FOR_谁]",true
690,"调","[PINYIN_FOR_调]",true
691,"谅","[PINYIN_FOR_谅]",true
692,"谈","[PINYIN_FOR_谈]",true
693,"谊","[PINYIN_FOR_谊]",true
694,"谎","[PINYIN_FOR_谎]",true
695,"谐","[PINYIN_FOR_谐]",true
696,"谢","[PINYIN_FOR_谢]",true
697,"谱","[PINYIN_FOR_谱]",true
698,"豆","[PINYIN_FOR_豆]",true
699,"象","[PINYIN_FOR_象]",true
700,"财","[PINYIN_FOR_财]",true
701,"质","[PINYIN_FOR_质]",true
702,"贵","[PINYIN_FOR_贵]",true
703,"费","[PINYIN_FOR_费]",true
704,"资","[PINYIN_FOR_资]",true
705,"赛","[PINYIN_FOR_赛]",true
706,"赢","[PINYIN_FOR_赢]",true
707,"走","[PINYIN_FOR_走]",true
708,"越","[PINYIN_FOR_越]",true
709,"趣","[PINYIN_FOR_趣]",true
710,"跑","[PINYIN_FOR_跑]",true
711,"距","[PINYIN_FOR_距]",true
712,"跤","[PINYIN_FOR_跤]",true
713,"路","[PINYIN_FOR_路]",true
714,"踩","[PINYIN_FOR_踩]",true
715,"身","[PINYIN_FOR_身]",true
716,"车","[PINYIN_FOR_车]",true
717,"转","[PINYIN_FOR_转]",true
718,"软","[PINYIN_FOR_软]",true
719,"轻","[PINYIN_FOR_轻]",true
720,"较","[PINYIN_FOR_较]",true
721,"辆","[PINYIN_FOR_辆]",true
722,"辈","[PINYIN_FOR_辈]",true
723,"辛","[PINYIN_FOR_辛]",true
724,"边","[PINYIN_FOR_边]",true
725,"达","[PINYIN_FOR_达]",true
726,"迅","[PINYIN_FOR_迅]",true
727,"迎","[PINYIN_FOR_迎]",true
728,"运","[PINYIN_FOR_运]",true
729,"近","[PINYIN_FOR_近]",true
730,"这","[PINYIN_FOR_这]",true
731,"进","[PINYIN_FOR_进]",true
732,"远","[PINYIN_FOR_远]",true
733,"连","[PINYIN_FOR_连]",true
734,"迟","[PINYIN_FOR_迟]",true
735,"迹","[PINYIN_FOR_迹]",true
736,"适","[PINYIN_FOR_适]",true
737,"选","[PINYIN_FOR_选]",true
738,"造","[PINYIN_FOR_造]",true
739,"遇","[PINYIN_FOR_遇]",true
740,"遍","[PINYIN_FOR_遍]",true
741,"道","[PINYIN_FOR_道]",true
742,"遗","[PINYIN_FOR_遗]",true
743,"遥","[PINYIN_FOR_遥]",true
744,"遵","[PINYIN_FOR_遵]",true
745,"避","[PINYIN_FOR_避]",true
746,"邀","[PINYIN_FOR_邀]",true
747,"那","[PINYIN_FOR_那]",true
748,"邮","[PINYIN_FOR_邮]",true
749,"郎","[PINYIN_FOR_郎]",true
750,"部","[PINYIN_FOR_部]",true
751,"都","[PINYIN_FOR_都]",true
752,"酒","[PINYIN_FOR_酒]",true
753,"醋","[PINYIN_FOR_醋]",true
754,"里","[PINYIN_FOR_里]",true
755,"重","[PINYIN_FOR_重]",true
756,"野","[PINYIN_FOR_野]",true
757,"量","[PINYIN_FOR_量]",true
758,"针","[PINYIN_FOR_针]",true
759,"钟","[PINYIN_FOR_钟]",true
760,"钢","[PINYIN_FOR_钢]",true
761,"钥","[PINYIN_FOR_钥]",true
762,"钱","[PINYIN_FOR_钱]",true
763,"铁","[PINYIN_FOR_铁]",true
764,"银","[PINYIN_FOR_银]",true
765,"链","[PINYIN_FOR_链]",true
766,"镜","[PINYIN_FOR_镜]",true
767,"间","[PINYIN_FOR_间]",true
768,"闹","[PINYIN_FOR_闹]",true
769,"阅","[PINYIN_FOR_阅]",true
770,"阿","[PINYIN_FOR_阿]",true
771,"际","[PINYIN_FOR_际]",true
772,"院","[PINYIN_FOR_院]",true
773,"除","[PINYIN_FOR_除]",true
774,"险","[PINYIN_FOR_险]",true
775,"随","[PINYIN_FOR_随]",true
776,"障","[PINYIN_FOR_障]",true
777,"集","[PINYIN_FOR_集]",true
778,"雕","[PINYIN_FOR_雕]",true
779,"零","[PINYIN_FOR_零]",true
780,"需","[PINYIN_FOR_需]",true
781,"霉","[PINYIN_FOR_霉]",true
782,"青","[PINYIN_FOR_青]",true
783,"静","[PINYIN_FOR_静]",true
784,"非","[PINYIN_FOR_非]",true
785,"面","[PINYIN_FOR_面]",true
786,"革","[PINYIN_FOR_革]",true
787,"鞋","[PINYIN_FOR_鞋]",true
788,"音","[PINYIN_FOR_音]",true
789,"顶","[PINYIN_FOR_顶]",true
790,"项","[PINYIN_FOR_项]",true
791,"顾","[PINYIN_FOR_顾]",true
792,"预","[PINYIN_FOR_预]",true
793,"领","[PINYIN_FOR_领]",true
794,"颐","[PINYIN_FOR_颐]",true
795,"频","[PINYIN_FOR_频]",true
796,"题","[PINYIN_FOR_题]",true
797,"颜","[PINYIN_FOR_颜]",true
798,"风","[PINYIN_FOR_风]",true
799,"食","[PINYIN_FOR_食]",true
800,"餐","[PINYIN_FOR_餐]",true
801,"饭","[PINYIN_FOR_饭]",true
802,"饰","[PINYIN_FOR_饰]",true
803,"饼","[PINYIN_FOR_饼]",true
804,"馆","[PINYIN_FOR_馆]",true
805,"首","[PINYIN_FOR_首]",true
806,"马","[PINYIN_FOR_马]",true
807,"驾","[PINYIN_FOR_驾]",true
808,"骄","[PINYIN_FOR_骄]",true
809,"骑","[PINYIN_FOR_骑]",true
810,"骨","[PINYIN_FOR_骨]",true
811,"鱼","[PINYIN_FOR_鱼]",true
812,"鲁","[PINYIN_FOR_鲁]",true
813,"鲜","[PINYIN_FOR_鲜]",true
814,"鸡","[PINYIN_FOR_鸡]",true
815,"鸭","[PINYIN_FOR_鸭]",true
816,"麦","[PINYIN_FOR_麦]",true
817,"麻","[PINYIN_FOR_麻]",true
818,"黄","[PINYIN_FOR_黄]",true
819,"黎","[PINYIN_FOR_黎]",true
820,"鼻","[PINYIN_FOR_鼻]",true
821,"齐","[PINYIN_FOR_齐]",true
822,"龄","[PINYIN_FOR_龄]",true
